x, y, z
-749.999999999906, -250.000000000412, -100.000000000137
-750.000000000151, -199.999999999871, -699.999999999755
-749.999999999831, -200.000000000108, -650.000000000236
-749.999999999768, -200.00000000035, -600.000000000212
-750.000000000071, -199.999999999976, -549.999999999918
-749.999999999888, -200.000000000263, -500.000000000106
-749.99999999984, -200.000000000312, -449.999999999914
-749.999999999879, -200.000000000287, -400.00000000007
-749.999999999852, -200.000000000274, -350.000000000022
-750.000000000023, -199.999999999896, -299.999999999929
-749.999999999968, -200.000000000209, -250.000000000134
-749.999999999882, -200.000000000242, -200.000000000162
-749.999999999947, -200.000000000141, -150.000000000224
-750.000000000209, -199.999999999255, -99.999999999751
-749.999999999748, -150.000000000566, -700.000000000204
-749.999999999951, -149.999999999946, -650.000000000008
-749.999999999997, -149.999999999968, -600.000000000176
-750.000000000118, -149.9999999997, -549.999999999929
-750.000000000196, -149.999999999489, -499.999999999943
-750.000000000186, -149.999999999554, -449.999999999916
-749.99999999989, -150.000000000285, -399.999999999945
-749.999999999893, -150.000000000316, -349.999999999953
-749.999999999896, -150.000000000143, -300.000000000268
-750.00000000014, -149.999999999806, -249.999999999989
-749.9999999999, -150.000000000241, -200.000000000168
-749.999999999841, -150.000000000582, -150.000000000109
-750.000000000113, -149.999999999512, -99.999999999868
-749.999999999787, -100.000000000682, -750.000000000116
-750.000000000196, -99.999999999619, -699.999999999802
-750.000000000089, -99.999999999857, -649.99999999987
-750.00000000013, -99.999999999723, -599.999999999962
-749.999999999849, -100.000000000085, -550.000000000254
-750.000000000082, -99.99999999984, -500.000000000035
-750.000000000043, -100.000000000023, -449.99999999985
-750.000000000149, -99.999999999656, -399.999999999774
-749.99999999995, -100.000000000154, -350.00000000017
-750.000000000112, -99.999999999893, -300.00000000004
-749.99999999992, -100.000000000205, -249.999999999938
-750.00000000001, -100.000000000107, -200.000000000093
-750.000000000096, -99.999999999669, -149.999999999923
-749.999999999854, -100.000000000498, -100.000000000093
-749.999999999817, -100.000000000636, -49.999999999956
-750.000000000063, -49.999999999896, -749.999999999837
-749.999999999797, -50.000000000255, -700.000000000212
-749.999999999868, -50.000000000374, -650.000000000133
-749.999999999907, -50.000000000114, -599.999999999913
-749.999999999908, -50.000000000282, -549.999999999972
-750.000000000138, -49.999999999682, -499.999999999853
-750.000000000038, -50.000000000029, -450.000000000136
-749.999999999861, -50.000000000237, -400.000000000129
-750.00000000005, -49.999999999977, -349.999999999927
-750.000000000067, -49.999999999971, -299.999999999967
-750.000000000113, -49.999999999799, -249.999999999885
-750.000000000006, -49.999999999862, -199.999999999843
-750.000000000043, -49.999999999816, -149.999999999743
-749.999999999966, -50.000000000221, -100.000000000122
-750.000000000073, -49.99999999971, -50.000000000139
-749.999999999682, -4.93e-10, -750.000000000476
-749.999999999889, -3.13e-10, -700.000000000161
-749.999999999893, -9.3e-11, -650.000000000164
-750.000000000119, 2.33e-10, -599.999999999891
-750.000000000042, -5.6e-11, -550.000000000023
-749.999999999936, -8.8e-11, -500.000000000146
-750.000000000052, 0.0, -450.000000000063
-750.000000000037, 1.03e-10, -399.999999999905
-750.00000000004, 4e-11, -349.999999999841
-749.999999999964, -1.43e-10, -299.999999999938
-749.999999999966, -5e-11, -249.999999999988
-750.000000000069, 7.8e-11, -199.999999999742
-749.999999999908, -1.32e-10, -149.999999999976
-749.999999999978, 4.8e-11, -99.99999999986
-749.999999999982, 1.9e-11, -50.000000000033
-749.999999999917, 49.999999999958, -750.000000000204
-750.00000000015, 50.000000000068, -699.99999999979
-750.000000000154, 50.000000000202, -649.999999999728
-749.999999999957, 49.999999999874, -600.000000000142
-749.999999999869, 49.999999999978, -550.000000000025
-749.99999999984, 49.999999999737, -500.000000000187
-750.000000000106, 50.000000000315, -449.99999999988
-750.000000000073, 50.000000000204, -400.000000000021
-750.000000000043, 50.000000000182, -350.000000000056
-749.999999999954, 49.99999999982, -300.000000000002
-750.000000000091, 50.000000000134, -249.999999999862
-750.000000000026, 50.000000000029, -199.999999999805
-750.000000000068, 50.000000000127, -149.999999999952
-749.999999999974, 100.000000000367, -749.999999999694
-749.999999999756, 99.999999999654, -700.000000000438
-750.000000000122, 100.000000000252, -649.99999999994
-749.999999999958, 100.000000000198, -600.0000000001
-749.999999999904, 99.999999999883, -549.999999999959
-749.999999999996, 100.00000000005, -500.000000000019
-749.999999999996, 100.000000000188, -450.000000000029
-750.00000000001, 100.00000000015, -399.999999999976
-749.999999999886, 99.999999999889, -350.000000000294
-750.000000000013, 99.999999999863, -299.999999999893
-749.999999999904, 99.999999999819, -250.000000000074
-750.000000000087, 100.000000000135, -199.999999999884
-750.000000000044, 99.999999999996, -150.000000000191
-749.999999999893, 149.999999999723, -750.000000000242
-749.999999999876, 149.999999999917, -700.000000000159
-749.999999999846, 149.999999999668, -650.000000000264
-750.000000000061, 150.000000000208, -599.999999999883
-749.99999999984, 149.999999999746, -550.000000000319
-749.999999999925, 149.999999999769, -500.000000000152
-749.999999999935, 149.999999999984, -449.999999999964
-749.999999999919, 149.999999999788, -400.000000000096
-750.000000000037, 150.000000000101, -350.00000000001
-749.999999999933, 150.000000000043, -300.000000000199
-750.000000000045, 150.000000000103, -249.999999999941
-749.999999999995, 149.999999999945, -199.999999999992
-749.999999999994, 149.999999999934, -150.000000000001
-750.000000000192, 200.000000000267, -749.999999999663
-750.000000000148, 200.000000000158, -699.999999999793
-750.000000000067, 200.0000000001, -649.999999999851
-750.000000000142, 200.000000000206, -599.999999999638
-749.999999999888, 199.99999999989, -550.000000000093
-749.999999999923, 199.999999999794, -500.000000000067
-750.000000000047, 199.999999999976, -449.999999999949
-749.999999999934, 199.999999999855, -400.000000000137
-749.999999999932, 199.999999999872, -350.000000000154
-750.00000000007, 200.000000000027, -299.999999999878
-750.000000000098, 200.000000000169, -249.999999999873
-749.999999999872, 200.000000000125, -200.000000000252
-749.999999999973, 200.000000000098, -150.00000000004
-750.000000009013, 199.999999967121, -99.99999999959
-749.99999999998, 249.99999999993, -750.000000000083
-750.000000000039, 250.000000000113, -700.000000000002
-749.999999999913, 249.999999999878, -650.000000000217
-749.999999999997, 250.000000000145, -599.999999999896
-749.999999999922, 249.99999999978, -550.000000000166
-749.999999999994, 250.000000000014, -500.000000000086
-749.999999999894, 249.999999999854, -450.000000000058
-749.999999999993, 249.999999999786, -400.000000000016
-750.000000000085, 250.000000000216, -349.99999999992
-750.000000000068, 250.00000000013, -299.999999999955
-749.999999999944, 250.000000000059, -250.000000000037
-749.999999999975, 250.000000000109, -200.000000000089
-750.000000000054, 249.999999999775, -149.999999999948
-749.999999999946, 249.999999999881, -100.000000000151
-749.999999999728, 299.999999999548, -750.000000000608
-750.00000000001, 299.999999999977, -699.999999999974
-749.999999999996, 300.000000000179, -649.999999999891
-749.999999999893, 299.999999999945, -600.00000000023
-749.999999999804, 299.999999999947, -550.000000000284
-750.000000000104, 300.000000000136, -499.999999999807
-750.000000000011, 300.000000000202, -449.99999999993
-750.000000000081, 299.9999999999, -399.999999999922
-750.000000000011, 299.999999999875, -349.999999999967
-750.000000000064, 300.000000000184, -299.999999999905
-749.999999999904, 299.999999999969, -250.000000000068
-750.000000000038, 299.999999999988, -199.999999999836
-750.000000000091, 299.999999999992, -149.999999999803
-750.000000000094, 300.000000000006, -99.999999999838
-750.000000000218, 350.00000000018, -749.999999999545
-749.999999999854, 349.999999999807, -700.000000000372
-750.000000000026, 350.000000000191, -649.999999999891
-749.999999999931, 349.999999999791, -600.000000000228
-749.999999999973, 350.000000000029, -549.999999999927
-750.000000000048, 350.000000000072, -499.999999999922
-750.000000000043, 349.999999999863, -450.000000000021
-749.999999999986, 350.000000000132, -399.999999999989
-750.000000000021, 349.999999999985, -350.000000000089
-749.999999999909, 349.999999999973, -300.000000000084
-750.000000000053, 349.999999999877, -249.999999999973
-750.000000000104, 349.999999999907, -199.999999999893
-750.00000000004, 350.000000000053, -150.000000000001
-750.000000000066, 350.000000000107, -99.999999999856
-749.999999999895, 400.000000000058, -700.000000000128
-750.000000000066, 400.000000000059, -649.999999999857
-750.000000000218, 400.000000000009, -599.999999999704
-750.000000000052, 400.000000000113, -549.999999999798
-749.999999999986, 400.000000000054, -499.999999999869
-749.999999999992, 399.999999999918, -450.000000000145
-750.000000000087, 400.000000000037, -399.999999999764
-750.000000000003, 400.000000000075, -349.999999999995
-749.99999999997, 399.999999999923, -299.999999999992
-749.999999999962, 399.999999999998, -250.000000000046
-750.000000000106, 400.000000000052, -199.9999999999
-750.0000000001, 399.99999999997, -149.999999999777
-749.999999999943, 400.000000000156, -99.999999999999
-750.000000000217, 449.999999999987, -649.99999999969
-750.000000000089, 450.000000000119, -599.999999999705
-749.99999999989, 449.999999999924, -550.000000000257
-750.000000000067, 450.000000000111, -499.99999999983
-750.000000000027, 449.999999999964, -450.000000000111
-749.999999999883, 449.999999999949, -400.000000000293
-749.999999999954, 450.000000000061, -350.0
-749.999999999888, 449.999999999969, -300.000000000323
-749.999999999991, 450.000000000153, -249.999999999858
-749.999999999922, 449.99999999993, -200.000000000112
-750.000000000066, 450.00000000004, -149.99999999984
-750.00000000003, 449.999999999975, -100.000000000008
-749.999999999869, 499.999999999984, -550.000000000302
-750.000000000191, 500.000000000081, -499.99999999947
-749.999999999904, 499.999999999946, -450.000000000322
-749.999999999887, 499.999999999894, -400.000000000377
-750.000000000047, 500.000000000002, -350.000000000063
-749.999999999893, 500.000000000008, -300.000000000081
-750.00000000008, 500.000000000027, -249.999999999926
-750.000000000008, 500.000000000046, -199.999999999961
-749.999999999977, 499.999999999961, -150.000000000073
-749.999999999949, 499.999999999911, -100.000000000199
-699.999999999974, -550.000000000057, -349.99999999983
-699.99999999975, -550.000000000226, -300.000000000084
-699.999999999836, -550.000000000154, -250.000000000262
-699.999999999928, -550.000000000063, -200.000000000206
-700.000000000203, -549.999999999882, -150.000000000122
-699.999999999905, -550.000000000042, -99.999999999751
-700.000000000091, -499.999999999816, -500.000000000203
-700.000000000117, -499.999999999853, -450.000000000182
-700.000000001003, -499.999999998681, -399.999999999937
-700.000000000685, -499.99999999906, -350.000000000022
-699.999999999481, -500.000000000629, -299.999999999874
-699.99999999984, -500.000000000103, -249.999999999902
-700.000000000003, -500.00000000011, -200.000000000129
-700.000000000106, -500.000000000001, -150.00000000011
-699.999999999932, -500.000000000081, -99.999999999994
-699.999999999623, -450.000000000552, -599.999999999938
-699.99999996323, -450.000000057889, -549.999999998061
-699.999999998508, -450.000000002328, -499.999999999924
-699.999999999895, -450.000000000293, -450.000000000021
-699.999999999576, -450.00000000068, -399.999999999939
-699.999999999782, -450.000000000341, -349.999999999909
-700.000000000272, -449.99999999951, -300.000000000085
-699.999999999878, -450.000000000223, -249.999999999983
-700.000000014079, -449.999999978173, -200.000000000177
-700.000000000946, -449.999999998505, -150.000000000085
-700.000000000039, -449.999999999899, -99.999999999789
-699.999999996983, -400.000000005425, -649.999999999816
-700.000000000722, -399.999999998843, -599.999999999805
-699.999999999304, -400.00000000122, -549.999999999987
-699.999999999973, -399.999999999998, -499.999999999878
-700.000000000175, -399.999999999851, -449.999999999834
-699.999999999636, -400.000000000668, -400.000000000134
-700.000000000289, -399.999999999419, -350.000000000046
-700.00000000004, -399.9999999999, -299.999999999993
